"strain","sample","name","lineage","vni_subdivision","mating_type","country_of_origin","isolation_source","broad_project","sra_accession","strain_description","in_gwas","phenotyped","source","dataset","species_id_from_mash_anlaysis","study","hiv_status","continent_of_origin","year_of_origin","mean_depth_of_mapping_with_mq_._30_across_whole_genome","proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_._30","run"
"04CN-65-074","ERS2541002","04CN-65-074","VNI","VNIb","","Uganda","","","ERR2624181","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",NA,49.55331296,0.993829294,NA
"04CN-65-080","ERS2541310","04CN-65-080","VNI","VNIa-93","","Uganda","","","ERR2624147","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","negative","Africa",NA,42.67799176,0.987464179,NA
"04CN-65-085","ERS2541059","04CN-65-085","VNI","VNIa-93","","Uganda","","","ERR2624323","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,39.62800317,0.989269127,NA
"04CN-65-086","ERS2541311","04CN-65-086","VNI","VNIa-93","","Uganda","","","ERR2624205","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,58.10252789,0.986435585,NA
"04CN-65-087","ERS2541316","04CN-65-087","VNI","VNIb","","Uganda","","","ERR2624097","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,44.08270674,0.993371197,NA
"04CN-65-089","ERS2541043","04CN-65-089","VNI","VNIa-93","","Uganda","","","ERR2624329","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,66.23293987,0.990327662,NA
"04CN-65-091","ERS2541012","04CN-65-091","VNI","VNIa-93","","Uganda","","","ERR2624387","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,41.80176599,0.989011335,NA
"04CN-65-095","ERS2540927","04CN-65-095","VNI","VNIa-93","","Uganda","","","ERR2624095","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,52.77766788,0.989510827,NA
"04CN-65-096","ERS2541014","04CN-65-096","VNI","VNIb","","Uganda","","","ERR2624275","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,62.7494154,0.999577899,NA
"04CN-65-098","ERS2541003","04CN-65-098","VNI","VNIa-93","","Uganda","","","ERR2624418","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,54.39969334,0.989869883,NA
"04CN-65-100","ERS2541333","04CN-65-100","VNI","VNIa-93","","Uganda","","","ERR2624382","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,53.56061647,0.987997052,NA
"04CN-65-102","ERS2541324","04CN-65-102","VNI","VNIa-93","","Uganda","","","ERR2624315","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,42.87334712,0.986918136,NA
"04CN-65-103","ERS2540935","04CN-65-103","VNI","VNIa-93","","Uganda","","","ERR2624334","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,41.67154716,0.989288977,NA
"04CN-65-106","ERS2540950","04CN-65-106","VNI","VNII","","Uganda","","","ERR2624139","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",NA,43.27427447,0.965696978,NA
"04CN-65-108","ERS2540959","04CN-65-108","VNI","VNIa-93","","Uganda","","","ERR2624349","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,44.71459193,0.989272356,NA
"04CN-65-125","ERS2540992","04CN-65-125","VNI","VNIb","","Uganda","","","ERR2624183","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,39.30766728,0.994221699,NA
"04CN-65-127","ERS2541055","04CN-65-127","VNI","VNIa-93","","Uganda","","","ERR2624281","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,37.95802589,0.989318568,NA
"04CN-65-129","ERS2540925","04CN-65-129","VNI","","","Uganda","","","ERR2624242","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid","Ashton","positive","Africa",2014,32.82144092,0.97489428,NA
"04CN-65-130","ERS2541019","04CN-65-130","VNI","VNIa-X","","Uganda","","","ERR2624350","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,47.75994973,0.984398233,NA
"04CN-65-131","ERS2541072","04CN-65-131","VNI","VNIa-93","","Uganda","","","ERR2624264","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",NA,31.38908887,0.987098856,NA
"04CN-65-132","ERS2541077","04CN-65-132","VNI","VNIb","","Uganda","","","ERR2624477","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,60.55988904,0.995224812,NA
"04CN-65-133","ERS2540931","04CN-65-133","VNI","","","Uganda","","","ERR2624415","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid","Ashton","positive","Africa",2014,44.42821647,0.982899809,NA
"04CN-65-134","ERS2540981","04CN-65-134","VNI","VNIa-93","","Uganda","","","ERR2624267","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,42.6718564,0.989261504,NA
"04CN-65-135","ERS2541035","04CN-65-135","VNI","VNIa-93","","Uganda","","","ERR2624380","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,38.94715972,0.988440381,NA
"04CN-65-137","ERS2540947","04CN-65-137","VNI","VNIa-93","","Uganda","","","ERR2624357","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,42.74309891,0.988786838,NA
"04CN-65-141","ERS2541036","04CN-65-141","VNI","VNIa-93","","Uganda","","","ERR2624456","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,59.08672644,0.98957239,NA
"04CN-65-142","ERS2540978","04CN-65-142","VNI","VNIa-93","","Uganda","","","ERR2624215","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,38.66619197,0.98932312,NA
"04CN-65-161","ERS2541049","04CN-65-161","VNI","VNIa-32","","Uganda","","","ERR2624145","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",NA,45.41327671,0.991485609,NA
"04CN-65-163","ERS2540928","04CN-65-163","VNI","VNIa-93","","Uganda","","","ERR2624344","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,42.40845149,0.989579589,NA
"04CN-65-164","ERS2541320","04CN-65-164","VNI","VNIa-93","","Uganda","","","ERR2624482","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,53.88109216,0.989456198,NA
"04CN-65-165","ERS2540923","04CN-65-165","VNI","VNIa-93","","Uganda","","","ERR2624383","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",NA,37.56306624,0.988650426,NA
"04CN-65-166","ERS2540996","04CN-65-166","VNI","VNIa-93","","Uganda","","","ERR2624252","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,42.31074761,0.989368962,NA
"04CN-65-167","ERS2541024","04CN-65-167","VNI","VNIa-93","","Uganda","","","ERR2624230","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,39.60676327,0.988549109,NA
"BK1","ERS1142690","20949_2#1","VNI","VNIa-4","","Vietnam","","","ERR1756534","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,55.97034755,0.98486116,NA
"BK100","ERS1142757","20427_2#60","VNI","VNIa-4","","Vietnam","","","ERR1671658","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,37.959171,0.957080874,NA
"BK101","ERS542396","14936_1#5","VNI","VNIa-32","","Vietnam","","","ERR842637","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,36.10530566,0.959686959,NA
"BK102","ERS542397","14936_1#6","VNI","VNIa-5","","Vietnam","","","ERR842638","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,36.9944635,0.958829436,NA
"BK105","ERS542398","14936_1#7","VNI","VNIa-5","","Vietnam","","","ERR842639","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,40.58919429,0.958806545,NA
"BK106","ERS1142758","20427_2#61","VNI","VNIa-4","","Vietnam","","","ERR1671659","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,41.49425941,0.957193476,NA
"BK107","ERS542400","14936_1#9","VNI","VNIa-5","","Vietnam","","","ERR842640","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,32.07785669,0.957970169,NA
"BK108","ERS1142759","20427_2#62","VNI","VNIa-93","","Vietnam","","","ERR1671660","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,36.33982785,0.959139859,NA
"BK109","ERS1142760","20427_2#63","VNI","VNIa-4","","Vietnam","","","ERR1671661","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,40.00827037,0.957324846,NA
"BK11","ERS1142696","20427_2#5","VNI","VNIa-32","","Vietnam","","","ERR1671603","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,45.41820283,0.960641965,NA
"BK111","ERS542403","15277_3#1","VNI","VNIa-4","","Vietnam","","","ERR852919","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,37.54199955,0.957236138,NA
"BK112","ERS1142761","20427_2#64","VNI","VNIa-93","","Vietnam","","","ERR1671662","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,37.64001998,0.959270489,NA
"BK113","ERS1142762","20427_2#65","VNI","VNIa-4","","Vietnam","","","ERR1671663","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,38.49964353,0.956741903,NA
"BK114","ERS542406","14936_1#15","VNI","VNIa-4","","Vietnam","","","ERR842644","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,37.5145244,0.956338226,NA
"BK115","ERS1142763","20427_2#66","VNI","VNIa-5","","Vietnam","","","ERR1671664","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,42.93509822,0.960111148,NA
"BK116","ERS1142764","20427_2#67","VNI","VNIa-5","","Vietnam","","","ERR1671665","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,38.82518817,0.958973652,NA
"BK117","ERS1142765","20427_2#68","VNI","VNIa-5","","Vietnam","","","ERR1671666","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,41.42472466,0.960020167,NA
"BK12","ERS1142697","20427_2#6","VNI","VNIa-93","","Vietnam","","","ERR1671604","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,48.30495988,0.959749392,NA
"BK123","ERS542413","14936_1#22","VNI","VNIa-4","","Vietnam","","","ERR842647","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,40.26466269,0.956494019,NA
"BK125","ERS542414","15277_3#7","VNI","VNIa-4","","Vietnam","","","ERR852925","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,35.45493035,0.95570501,NA
"BK127","ERS542415","15277_3#8","VNI","VNIa-4","","Vietnam","","","ERR852926","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,52.58475412,0.957193899,NA
"BK128","ERS1142767","20949_2#10","VNI","VNIa-5","","Vietnam","","","ERR1756543","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,41.97025741,0.989092907,NA
"BK129","ERS1142768","20427_2#69","VNI","VNIa-93","","Vietnam","","","ERR1671667","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,35.72958042,0.958937069,NA
"BK13","ERS1142698","20427_2#7","VNI","VNIa-4","","Vietnam","","","ERR1671605","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,37.58138172,0.956665038,NA
"BK132","ERS1142769","20427_2#70","VNI","VNIa-93","","Vietnam","","","ERR1671668","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,35.59442479,0.958470641,NA
"BK134","ERS1142770","20427_2#71","VNI","VNIa-4","","Vietnam","","","ERR1671669","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,38.24826492,0.955990058,NA
"BK137","ERS1142773","20427_3#1","VNI","VNIa-4","","Vietnam","","","ERR1671671","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,78.62257515,0.958121997,NA
"BK138","ERS1142774","20949_2#12","VNI","VNIa-93","","Vietnam","","","ERR1756545","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,57.5613384,0.988736815,NA
"BK139","ERS1142775","20949_2#13","VNI","VNIa-5","","Vietnam","","","ERR1756546","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,60.26640673,0.991426852,NA
"BK14","ERS1142699","20427_2#8","VNI","VNIa-4","","Vietnam","","","ERR1671606","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,35.74055376,0.956464627,NA
"BK140","ERS1142776","20949_2#14","VNI","VNIa-5","","Vietnam","","","ERR1756547","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,59.33192843,0.99025583,NA
"BK141","ERS1142777","20427_3#2","VNI","VNIa-5","","Vietnam","","","ERR1671672","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,63.51007336,0.960545698,NA
"BK142","ERS1142778","20949_2#15","VNI","VNIa-5","","Vietnam","","","ERR1756548","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,70.32572555,0.991764058,NA
"BK143","ERS1142779","20427_3#3","VNI","VNIa-4","","Vietnam","","","ERR1671673","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,58.35746744,0.956709867,NA
"BK144","ERS542429","14936_1#38","VNI","VNIa-93","","Vietnam","","","ERR842658","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,31.1239031,0.958016267,NA
"BK145","ERS1142780","20949_2#16","VNI","VNIa-32","","Vietnam","","","ERR1756549","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,53.89262219,0.990141226,NA
"BK146","ERS1142781","20949_2#17","VNI","VNIa-5","","Vietnam","","","ERR1756550","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,49.97657305,0.990590589,NA
"BK147","ERS542578","14893_1#90","VNI","VNIa-5","","Vietnam","","","ERR842628","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,31.11348115,0.958550573,NA
"BK148","ERS1142782","20949_2#18","VNI","VNIa-4","","Vietnam","","","ERR1756551","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,43.1980697,0.986349459,NA
"BK149","ERS1142783","20427_3#4","VNI","VNIa-4","","Vietnam","","","ERR1671674","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,48.62616708,0.95731607,NA
"BK15","ERS542301","14892_1#6","VNI","VNIa-5","","Vietnam","","","ERR842481","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,35.46062083,0.958704886,NA
"BK150","ERS542434","14936_1#43","VNI","VNIa-93","","Vietnam","","","ERR842661","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,31.02258645,0.958161381,NA
"BK151","ERS1142784","20427_3#5","VNI","VNIa-4","","Vietnam","","","ERR1671675","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,49.8757222,0.957426029,NA
"BK153","ERS542436","14936_1#45","VNI","VNIa-93","","Vietnam","","","ERR842663","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,34.37877436,0.954789547,NA
"BK155","ERS542437","14936_1#46","VNI","VNIa-4","","Vietnam","","","ERR842664","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,33.21178651,0.955817612,NA
"BK156","ERS542435","14936_1#44","VNI","VNIa-4","","Vietnam","","","ERR842662","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,32.56016707,0.955863499,NA
"BK157","ERS1142785","20427_3#6","VNI","VNIa-93","","Vietnam","","","ERR1671676","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,53.46963479,0.959724546,NA
"BK158","ERS1142786","20427_3#7","VNI","VNIa-outlier","","Vietnam","","","ERR1671677","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,52.66800202,0.956937662,NA
"BK159","ERS542440","14936_1#49","VNI","VNIa-5","","Vietnam","","","ERR842666","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,32.64541653,0.958373105,NA
"BK16","ERS542309","14892_1#14","VNI","VNIa-4","","Vietnam","","","ERR842488","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,31.27548824,0.956201253,NA
"BK160","ERS1142787","20427_3#8","VNI","VNIa-5","","Vietnam","","","ERR1671678","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2006,52.9027933,0.960355172,NA
